id,name,description
210153,天风天成定增4号资产管理计划,这是一个基金产品
210154,招商行业领先股票型证券投资基金法,这是一个基金产品
210155,证券基金,这是一个基金产品
210156,昭融多策略1号私募基金,这是一个基金产品
210157,华安证券有限责任公司客户信用交易担保证券账户,这是一个基金产品
210158,中珏恩视宏达价值3号私募证券投资基金,这是一个基金产品
210159,易方达国寿股份成长股票型组合单一资产管理计划(可供出售),这是一个基金产品
210160,2013年股票投资单一资金信托,这是一个基金产品
210161,海通证券股份有限公司(权益投资交易部),这是一个基金产品
210162,诺德基金浦江1043号单一资产管理计划,这是一个基金产品
210163,长安投资1094号证券投资集合资金信托计划,这是一个基金产品
210164,创奥华创一号私募证券投资基金,这是一个基金产品
210165,新时代信托·丰金42号集合资金信托计划,这是一个基金产品
210166,中国民生信托·至信221号立讯精密定增集合资金信托计划,这是一个基金产品
210167,兴全绿色投资股票型证券投资基金(LOF),这是一个基金产品
210168,富信富时穗通3号资产管理计划,这是一个基金产品
210169,石锋资产厚积私募证券投资基金,这是一个基金产品
210170,国泰君安君享洪城集合资产管理计划,这是一个基金产品
210171,长添地利十号私募投资基金,这是一个基金产品
210172,中欧新趋势股票型证券投资基金(LOF),这是一个基金产品
210173,凯恩军舰鸟1号私募证券投资基金,这是一个基金产品
210174,燕园精赢舜丰私募证券投资基金,这是一个基金产品
210175,聚鸣成长1号私募证券投资基金,这是一个基金产品
210176,单一类资金信托R2007ZX032,这是一个基金产品
210177,银湖青阳私募证券投资基金,这是一个基金产品
210178,东海证券—光大—东风6号集合资产管理计划,这是一个基金产品
210179,利福凌越三号私募证券投资基金,这是一个基金产品
210180, 广发中证500 指数证券投资基金(LOF),这是一个基金产品
210181,15776),这是一个基金产品
210182,华鑫信托·慧智投资76号集合资金信托计划,这是一个基金产品
210183,神通科技集团股份有限公司回购专用证券账户,这是一个基金产品
210184,华安添利6个月持有期债券型证券投资基金,这是一个基金产品
210185,中国农业银行—长盛中信全债指数增强型债券投资基金,这是一个基金产品
210186,MARTIN CURRIE INVESTMENTMANAGEMENT LIMITED,这是一个基金产品
210187,景林稳健,这是一个基金产品
210188,润之信18期集合资金信托计划,这是一个基金产品
210189,兴云长城集合资金信托计划,这是一个基金产品
210190,诺安中汇金锐定增1号资产管理计划,这是一个基金产品
210191,致赢均衡精选私募证券投资基金,这是一个基金产品
210192,铸锋长锋36号私募证券投资基金,这是一个基金产品
210193,华润元大基金蔡宾单一资产管理计划,这是一个基金产品
210194,西部证券财富长安1号集合资产管理计划,这是一个基金产品
210195,东吴鼎利56号资产管理计划,这是一个基金产品
210196,渝信创新优势玖号集合资金信托,这是一个基金产品
210197,云瑞尊享集合资金信托计划,这是一个基金产品
210198,国泰中证全指家用电器交易型开放式指数证券投资基金,这是一个基金产品
210199,陕国投·金玉30号证券投资集合资金信托计划,这是一个基金产品
210200,中铁信托·民生银行北京二号证券投资集合资金信托计划,这是一个基金产品
210201,慧通优选分级2号资产管理计划,这是一个基金产品
210202,昊泽晨曦1号私募证券投资基金,这是一个基金产品
210203,中融增强14号,这是一个基金产品
210204,富春定增553号资产管理计划,这是一个基金产品
210205,农银汇理新兴消费股票型证券投资基金,这是一个基金产品
210206,光大证券股份有限公司客户信用交易担保证券账户,这是一个基金产品
210207,宽投新机遇1号私募证券投资基金,这是一个基金产品
210208,第一期暨2022年员工持股计划,这是一个基金产品
210209,金算盘瑞吉1号私募证券投资基金,这是一个基金产品
210210,光大信托·致恒铂金12号证券投资集合资金信托计划,这是一个基金产品
210211,财富证券星城5号集合资产管理计划,这是一个基金产品
210212,华融·海西晟乾7号权益投资集合资金信托计划,这是一个基金产品
210213,一村启明星2号私募证券投资基金,这是一个基金产品
210214,国信证券股份有限公司约定购回式证券交易专用证券账户,这是一个基金产品
210215,阳光宝之钟幸华价值发现一号私募证券投资基金,这是一个基金产品
210216,兴业证券—兴业—兴业卓越2号集合资产管理计划,这是一个基金产品
210217,阿巴马悦享红利72号私募证券投资基金,这是一个基金产品
210218,陕国投·聚宝盆88号证券投资集合资金信托计划,这是一个基金产品
210219,定向增发10号资产管理计划,这是一个基金产品
210220,博道惠泰优选混合型证券投资基金,这是一个基金产品
210221,兴云添利集合资金信托计划,这是一个基金产品
210222,华盈新富二期私募投资基金,这是一个基金产品
210223,太平资产太平之星110号资管产品,这是一个基金产品
210224,源盛恒瑞18号集合资金信托计划,这是一个基金产品
210225,国信“金理财“价值增长股票精选集合资产管理计划,这是一个基金产品
210226,四川水井坊股份有限公司回购专用证券账户,这是一个基金产品
210227,河南省返乡创业股权投资基金(有限合伙),这是一个基金产品
210228,北信瑞丰瑞东麒麟1号资产管理计划,这是一个基金产品
210229,展博2号特定客户资产管理计划,这是一个基金产品
210230,铁汉生态2号员工持股集合资金信托计划(第2期),这是一个基金产品
210231,易方达平稳增长证券投资基金,这是一个基金产品
210232,佳祺践行者一号私募证券投资基金,这是一个基金产品
210233,汇丰晋信双核策略混合型证券投资基金,这是一个基金产品
210234,华鑫信托·279号证券投资集合信托计划,这是一个基金产品
210235,景商金牛6号私募证券投资基金,这是一个基金产品
210236,中国人寿委托工银瑞信基金公司股票型组合,这是一个基金产品
210237,中信证券消费增强单一资产管理计划,这是一个基金产品
210238,九州证券有限公司做市专用证券账户,这是一个基金产品
210239,博芮东方价值12号私募证券投资基金,这是一个基金产品
210240,诺安价值,这是一个基金产品
210241,擒龙1号证券投资基金,这是一个基金产品
210242,中信证券信享丰年1号集合资产管理计划,这是一个基金产品
210243,渤海信托·恒利丰207号单一资金信托,这是一个基金产品
210244,中国农业银行—景顺长城内需增长贰号股票型证券投资基金,这是一个基金产品
210245,演图认知寒武纪一期私募证券投资基金,这是一个基金产品
210246,上投摩根新兴动力股票型证券投资基金,这是一个基金产品
210247,红荔湾丰升水起5号私募证券投资基金,这是一个基金产品
210248,国投泰康信托金雕399号单一资金信托,这是一个基金产品
210249,陕国投·聚宝盆26号证券投资集合资金信托计划,这是一个基金产品
210250,宝盈策略增长股票型券投资基金,这是一个基金产品
210251,天勤十八号单一资金信托,这是一个基金产品
210252,涌鑫1号混合型资产管理计划,这是一个基金产品
210253,华鑫信托·永鑫90号集合资金信托计划,这是一个基金产品
210254,财通证券资管智汇85号单一资产管理计划,这是一个基金产品
210255,中银保本二号混合型证券投资基金,这是一个基金产品
210256,锐天中睿九十八号私募证券投资基金,这是一个基金产品
210257,海富精选证券投资基金,这是一个基金产品
210258,国泰元鑫平安阖鼎联创新三板一期专项资产管理计划,这是一个基金产品
210259,天创1期证券投资集合资金信托计划,这是一个基金产品
210260,博时资本博成1号单一资产管理计划,这是一个基金产品
210261,迎水汇金15号私募证券投资基金,这是一个基金产品
210262,云图优选12号私募证券投资基金,这是一个基金产品
210263,中化岩土工程股份有限公司,这是一个基金产品
210264,大成沪深300 指数证券投资基金,这是一个基金产品
210265,信达澳银领先增长股票型证券投资基金,这是一个基金产品
210266,广金美好科新十号私募证券投资基金,这是一个基金产品
210267,上证50交易型　开放式指数证券投资基金,这是一个基金产品
210268,乐道成长优选4号基金,这是一个基金产品
210269,博道嘉瑞混合型证券投资基金,这是一个基金产品
210270,国泰金牛创新成长混合型证券投资基金,这是一个基金产品
210271,道琼斯 88精选证券投资基金,这是一个基金产品
210272,睿扬精选7号私募证券投资基金,这是一个基金产品
210273,汇民1号资产管理计划,这是一个基金产品
210274,易方达逆向投资混合型证券投资基金,这是一个基金产品
210275,天骥基金,这是一个基金产品
210276,通金6号契约型私募证券投资基金计划,这是一个基金产品
210277,富国中证500 指数增强型证券投资基金(LOF),这是一个基金产品
210278,上证红利交易型开放式指数证投资基金,这是一个基金产品
210279,中国工商银行股份有限公司—招商中小盘精选股票型证券投资基金,这是一个基金产品
210280,聚富定增3号专项资产管理计划,这是一个基金产品
210281,华鑫信托·395号证券投资集合资金信托计划,这是一个基金产品
210282,翎展稳进价值私募证券投资基金,这是一个基金产品
210283,石智追求真理私募证券投资基金,这是一个基金产品
210284,轻盐创投锐进3号私募证券投资基金,这是一个基金产品
210285,国贸资管鑫汇赢8号资产管理计划,这是一个基金产品
210286,CT 001深,这是一个基金产品
